sample,dsc,nsd,gt_area,pred_area,missing_pred
1.png,0.7602711585866886,0.7986425243450745,4569,5167,False
10.png,0.9541914191419142,0.9910587540307053,3707,3868,False
100.png,0.7846205059920106,0.8421590812762704,2443,3565,False
1000.png,0.5590851334180432,0.5990230800869886,1542,3967,False
1001.png,0.7336244541484717,0.7941322833327886,1757,2823,False
1002.png,0.709592641261498,0.7558290550376611,1394,2411,False
1003.png,0.47811945594322885,0.5300669342783956,1617,5147,False
1004.png,0.5111430625449317,0.5646241172430219,1457,4107,False
1005.png,0.4889086069210293,0.5461930802728631,1166,3342,False
1006.png,0.04706441644877585,0.13842120413846562,1528,2679,False
1007.png,0.5218861544241968,0.5733541514431364,1399,3924,False
1008.png,0.6938017226819794,0.7455318917416576,2065,3856,False
1009.png,0.7163461538461539,0.7714009158471979,1501,2659,False
101.png,0.9120145631067961,0.966319977977969,3274,3318,False
1010.png,0.28973027732050144,0.32426207118055367,1208,6689,False
1011.png,0.43888704869161976,0.48481465135988294,1337,4701,False
1012.png,0.6634799235181644,0.7844566335645669,1374,1764,False
1013.png,0.5368371656499296,0.6019464049354806,1161,3101,False
1014.png,0.410421248519709,0.44262623306964577,1295,4616,False
1015.png,0.39838778107764106,0.4371684176004758,1878,7550,False
1016.png,0.590272373540856,0.6415782202419944,1619,3521,False
1017.png,0.5727352682497802,0.6258230796358765,1652,4033,False
1018.png,0.9096325719960278,0.962980654320219,2521,2514,False
1019.png,0.9528272414870353,0.993261088575361,3112,3290,False
102.png,0.7260960714611248,0.7628416175468578,4753,6218,False
1020.png,0.8338020624079282,0.8666624292514563,3207,4260,False
1021.png,0.9335117332235487,0.9715925111122055,4938,4778,False
1022.png,0.7497913188647746,0.7788357723754066,3610,5974,False
1023.png,0.721927317272356,0.7552843406720294,3635,6161,False
1024.png,0.8332635106828655,0.8895990887879655,2005,2769,False
1025.png,0.39482693039178396,0.44874275725923857,1623,6264,False
1026.png,0.5960365853658537,0.6368574442490949,1964,4596,False
1027.png,0.670535138620245,0.7216602944266232,2091,4113,False
1028.png,0.4951644100580271,0.5567597465659586,899,2720,False
1029.png,0.1829145728643216,0.2155027639842748,455,4520,False
103.png,0.6548341896310136,0.6937064652680411,2925,5639,False
1030.png,0.6064787042591482,0.6501559097765254,2026,4642,False
1031.png,0.0,0.0,2834,6292,False
1032.png,0.753415011970145,0.7978593332227824,2678,4423,False
1033.png,0.6011766315501437,0.642018936322182,2315,4994,False
1034.png,0.19952153110047846,0.23356874014613496,437,3743,False
1035.png,0.8018059736050012,0.8374616954140683,3632,5006,False
1036.png,0.8896251419916699,0.9239921156359464,5273,5291,False
1037.png,0.9084640579210481,0.9422974137938991,5707,5895,False
1038.png,0.9065119277885235,0.9526899146077756,5362,5495,False
1039.png,0.8532488722526154,0.8857040393234658,4626,5793,False
104.png,0.5186817397968959,0.5491874691516303,3506,6932,False
1040.png,0.656807187284036,0.7039814605968304,4153,3082,False
1041.png,0.7627974044700793,0.8052533106728694,1718,2443,False
1042.png,0.7229403519700981,0.7814664297084033,2486,3935,False
1043.png,0.9466069583189803,0.9884872129790189,2958,2848,False
1044.png,0.6260662995356873,0.6572706499974724,3024,6237,False
1045.png,0.8887788778877888,0.9281282405840681,2793,3267,False
1046.png,0.5772418990203466,0.6196859448772727,2724,6565,False
1047.png,0.6258329529895025,0.6631914364390975,4005,6950,False
1048.png,0.9008062324485914,0.9350257607299265,5300,5739,False
1049.png,0.9275423728813559,0.9529031912240381,6757,7403,False
105.png,0.8823956442831216,0.9146050824932449,5109,5911,False
1050.png,0.9094747616915104,0.9318603442948951,7282,8349,False
1051.png,0.940444171213402,0.9805813925499756,6520,6493,False
1052.png,0.7090189543845032,0.7409898426696349,5489,8914,False
1053.png,0.44453487425734517,0.4651490750679821,3494,8793,False
1054.png,0.7690120824449183,0.8241781471684628,3366,5076,False
1055.png,0.7685563997662186,0.8305764613202244,3474,3370,False
1056.png,0.8518228486905073,0.8996465682299228,5154,6339,False
1057.png,0.05869601467400367,0.11626839531310777,3567,2430,False
1058.png,0.25597663156276423,0.2839943625919102,1665,11344,False
1059.png,0.7671437461107654,0.8153482106241617,3652,4383,False
106.png,0.9527855821284177,0.9859924032279117,7204,7389,False
1060.png,0.86415963161934,0.9340164989818264,3619,2896,False
1061.png,0.5884846344048039,0.6397351563794547,1709,3953,False
1062.png,0.5792443572129539,0.6259279598352443,2459,5693,False
1063.png,0.4036495733716313,0.43575475888543536,2639,9198,False
1064.png,0.1671139738772589,0.19799375835431263,498,5091,False
1065.png,0.5327482528847717,0.5838564026863117,1834,4319,False
1066.png,0.45101959216313475,0.49431781272734254,1894,5609,False
1067.png,0.45347711876123326,0.5025883003711834,1832,5401,False
1068.png,0.25303479902886433,0.2906564357822763,951,6463,False
1069.png,0.0,0.0,1614,5494,False
107.png,0.9306942392909897,0.9587104438725715,8221,8704,False
1070.png,0.286144578313253,0.3698181894912523,285,1707,False
1071.png,0.45416666666666666,0.5428746470964559,330,1110,False
1072.png,0.4131812420785805,0.49414310741130535,341,1237,False
1073.png,0.2346839546191248,0.2879526334177945,362,2723,False
1074.png,0.86608442503639,0.9548697121725562,1496,1252,False
1075.png,0.5208703374777975,0.5797627662540836,1770,2734,False
1076.png,0.45654296875,0.5245528427545184,1917,2179,False
1077.png,0.0,0.0,1333,1743,False
1078.png,0.6449959967974379,0.6874895039516262,3952,2293,False
1079.png,0.8527021535960991,0.9019638494156517,4198,5646,False
108.png,0.9708330837875068,0.9965840197225682,8352,8345,False
1080.png,0.8021269177126917,0.842525722108356,4734,6738,False
1081.png,0.865625,0.9339479724983163,4828,4772,False
1082.png,0.25666666666666665,0.2912184213405489,1009,6191,False
1083.png,0.5041160329282635,0.5419340712872495,1994,5659,False
1084.png,0.5203442879499217,0.5807365665299287,1331,3781,False
1085.png,0.5096913137114142,0.5567916056278401,1851,5114,False
1086.png,0.3249701314217443,0.3807836262490256,959,4900,False
1087.png,0.7363141053359855,0.7742463254529145,4563,7000,False
1088.png,0.7894387980556783,0.8400737263321998,3816,5236,False
1089.png,0.9129129129129129,0.9670755686960624,4128,3864,False
109.png,0.9120750293083235,0.9543438351426318,6239,7409,False
1090.png,0.8395890123715664,0.877888446835488,4345,5193,False
1091.png,0.8923190911336132,0.9459909663837602,4315,3783,False
1092.png,0.5849035057668152,0.6291829795650796,2820,5937,False
1093.png,0.8267148014440433,0.9120740418261128,2022,1856,False
1094.png,0.4522236113591713,0.5200143741655509,1508,4091,False
1095.png,0.4823179791976226,0.5271842174741681,1912,4818,False
1096.png,0.6416154521510097,0.6965356835035752,1954,3741,False
1097.png,0.7306313757926661,0.8029795000490381,1338,2289,False
1098.png,0.6929414384324204,0.7418461411993882,1579,2912,False
1099.png,0.2768633064103875,0.3029751213802292,4607,24736,False
11.png,0.8861204748644291,0.9082690735484218,6121,7525,False
110.png,0.9019196160767846,0.9559454846624036,3057,3611,False
1100.png,0.30955178781265735,0.3687817074494406,996,4961,False
1101.png,0.25595063179547456,0.3024452272701654,873,5933,False
1102.png,0.09884678747940692,0.1958366001059917,1313,2329,False
1103.png,0.6342765616657768,0.7053181371925309,3576,2043,False
1104.png,0.5449323698350935,0.593241331023192,6302,4492,False
1105.png,0.31189817376867734,0.34702593763322764,7021,2014,False
1106.png,0.3909495548961424,0.43181292238564717,6083,2005,False
1107.png,0.5925624872993294,0.647580658314479,1653,3268,False
1108.png,0.5593441401155208,0.6062660472164915,1552,3815,False
1109.png,0.47178186429930247,0.5262130096677954,1698,4610,False
111.png,0.0,0.0,599,2318,False
1110.png,0.4370948247445336,0.4797276852963005,1989,7112,False
1111.png,0.8153056861906798,0.8863513305825605,2171,2507,False
1112.png,0.5527542119727566,0.5977815137662252,2314,6055,False
1113.png,0.5497879216319935,0.6244240088133253,1724,3227,False
1114.png,0.5221826580694832,0.5623707969110031,2713,7678,False
1115.png,0.16005939123979213,0.19112080432877881,539,6196,False
1116.png,0.2705202312138728,0.31083329368521845,1053,6732,False
1117.png,0.0014652014652014652,0.013644346108035839,589,8966,False
1118.png,0.6762894534257121,0.7198394522861153,1794,3402,False
1119.png,0.6310991957104558,0.6865588134343956,2354,5106,False
112.png,0.7746531683539557,0.8356966624541746,3364,4637,False
1120.png,0.5691796826958554,0.6110984659874666,2324,5807,False
1121.png,0.19457609268035808,0.2272384714253597,739,6857,False
1122.png,0.698934879331266,0.7470865390414857,2592,4825,False
1123.png,0.5168566577734659,0.5589702164540176,2131,6115,False
1124.png,0.4505165588490876,0.4802904936867888,2360,7997,False
1125.png,0.7983581323755772,0.8495398377369476,2641,3206,False
1126.png,0.8709805478364431,0.9245913019585885,2264,2774,False
1127.png,0.7489562534035216,0.8037289721464537,2081,3428,False
1128.png,0.33786637384914264,0.3727025268750867,2000,9839,False
1129.png,0.42523494928817346,0.4595042777551603,2296,8451,False
113.png,0.9483204134366925,0.9984037812292789,1561,1535,False
1130.png,0.9609592861126603,0.9984170081131626,3540,3632,False
1131.png,0.9604631112205937,0.9945271093321815,3970,4149,False
1132.png,0.7092128135088155,0.7569191373336156,2907,5147,False
1133.png,0.7363853979652902,0.7928347988926083,2497,4187,False
1134.png,0.6866081229418222,0.7539095533588264,1421,2223,False
1135.png,0.6975369458128079,0.7504694146858087,1799,3276,False
1136.png,0.6330683624801272,0.6782365870075918,2011,4279,False
1137.png,0.532520325203252,0.5746557069761503,2220,5652,False
1138.png,0.29005492579174946,0.33055839464637676,1241,7316,False
1139.png,0.4131596984235778,0.47076602396124195,1532,5763,False
114.png,0.706669544571552,0.7459329160610488,1726,2907,False
1140.png,0.4481544280683449,0.4914597283063893,1791,5876,False
1141.png,0.4627911380420375,0.5989503458728982,1966,3315,False
1142.png,0.4784204088764634,0.5233060182709675,1373,4350,False
1143.png,0.6528373867429661,0.6976640575185841,2788,5600,False
1144.png,0.680561122244489,0.7348538153116996,1759,3231,False
1145.png,0.7942061700526711,0.8470701972495436,2163,3153,False
1146.png,0.7205032301938117,0.762416981307341,2170,3712,False
1147.png,0.7556742323097463,0.8094903015539164,1763,2731,False
1148.png,0.8105417276720351,0.8867551013833446,1554,1861,False
1149.png,0.6666666666666666,0.7348239359240404,1511,2770,False
115.png,0.9703133589884552,0.999049517887961,3661,3615,False
1150.png,0.5228723404255319,0.5951962762479157,1052,2708,False
1151.png,0.2579250720461095,0.2959667220873206,1075,7253,False
1152.png,0.3398755385351843,0.38466152036635365,1078,5189,False
1153.png,0.2728910728910729,0.32157577544885885,1948,4157,False
1154.png,0.0,0.0,1855,4003,False
1155.png,0.05688282138794084,0.11626417789976008,1831,1685,False
1156.png,0.45302134845012665,0.49274350413270707,1880,6411,False
1157.png,0.8001286380447017,0.8336224825445543,2545,3674,False
1158.png,0.7895101434933202,0.8265624367610622,4289,5816,False
1159.png,0.7933030177759405,0.8318015829110987,4177,5499,False
116.png,0.9135437559379288,0.9584334174732869,4514,4959,False
1160.png,0.8772056175729204,0.9104459228937952,2548,3006,False
1161.png,0.9555657352267521,0.9929240426502005,3201,3348,False
1162.png,0.701095461658842,0.7405361140859162,4047,7455,False
1163.png,0.8355564606455554,0.8745852239202973,4380,5441,False
1164.png,0.8384096024006001,0.8721334096882751,6072,7258,False
1165.png,0.9068490511511416,0.9479552780428765,5292,5089,False
1166.png,0.0,0.0,1213,7215,False
1167.png,0.0,0.0,1204,6729,False
1168.png,0.33180452316938164,0.363497573312743,1073,5250,False
1169.png,0.8671399594320487,0.906068811344608,3637,4251,False
117.png,0.5436341496414558,0.5767771133745364,10381,4401,False
1170.png,0.8484112527828375,0.8821470970301046,4301,5581,False
1171.png,0.8919042816539837,0.9256680124059162,5152,5755,False
1172.png,0.8747693118903243,0.8989742279303952,5111,6268,False
1173.png,0.9481333997013439,0.9664879769737383,4883,5162,False
1174.png,0.9069616135328562,0.9320124127434247,4303,4919,False
1175.png,0.6559583906990974,0.6904336603110023,2273,4264,False
1176.png,0.26718995290423864,0.292091773282613,891,5479,False
1177.png,0.730265367819953,0.7707151381196125,2285,3669,False
1178.png,0.6610278098167371,0.6891085395126859,2688,5115,False
1179.png,0.5550369948776324,0.5837225410146935,2504,6281,False
118.png,0.941365227537923,0.9855590921795365,3308,3548,False
1180.png,0.004729623206684534,0.029637435799734588,1866,4477,False
1181.png,0.428367054976497,0.4742386711888785,1074,3819,False
1182.png,0.6642806012884753,0.7173832635275558,1893,3695,False
1183.png,0.9560579121158242,0.9955154693236821,3970,3904,False
1184.png,0.9203595980962453,0.9561069897119754,4509,4946,False
1185.png,0.9610931865629152,0.994167140096314,5228,5310,False
1186.png,0.9516318596871892,0.9855251349927013,5531,5530,False
1187.png,0.9505087424676479,0.9928567436507736,5089,5034,False
1188.png,0.9129274183297318,0.9700945140575437,4264,3603,False
1189.png,0.42417777777777776,0.47081756936975183,1222,4403,False
119.png,0.0,0.0,491,6705,False
1190.png,0.49745158002038736,0.5236190510553085,3097,8675,False
1191.png,0.5027984009137636,0.5376966771455229,2306,6449,False
1192.png,0.41879077859939107,0.4480932433573998,2420,9075,False
1193.png,0.39206883651328095,0.42009975666581184,2159,8533,False
1194.png,0.19305019305019305,0.2102162495868906,1359,12627,False
1195.png,0.25996533795493937,0.2761124088076996,1511,10029,False
1196.png,0.3327123287671233,0.3548392727874129,1699,7426,False
1197.png,0.2736879495604298,0.2981230513591137,1647,9614,False
1198.png,0.08837676409958244,0.0983019003700177,851,18068,False
1199.png,0.1601387028134605,0.17539061715535895,1125,11564,False
12.png,0.9415215627535418,0.9583502099821029,7618,8405,False
120.png,0.31972876151484136,0.3402616157806338,5004,26260,False
1200.png,0.20700541190619362,0.22227892890926826,1408,11896,False
1201.png,0.19438963712790597,0.20907298945573283,1186,10471,False
1202.png,0.14661921708185052,0.1667359790510587,1103,12947,False
1203.png,0.0016597510373443983,0.07377721913895276,229,976,False
1204.png,0.20353982300884957,0.2500124846444257,246,2014,False
1205.png,0.0006842285323297981,0.01048334391672408,236,2687,False
1206.png,0.027079303675048357,0.07763721425163429,184,1367,False
1207.png,0.012644889357218124,0.07131561872927718,163,786,False
